from,to,cost
51,53,104.75
51,54,104.75
52,53,104.75
52,54,104.75
51,6,130.5
51,5,130.5
52,6,130.5
52,5,130.5
51,55,116.75
51,56,116.75
52,55,116.75
52,56,116.75
53,51,104.75
53,52,104.75
54,51,104.75
54,52,104.75
53,10,98
53,9,98
54,10,98
54,9,98
10,6,123.75
10,5,123.75
9,6,123.75
9,5,123.75
10,53,98
10,54,98
9,53,98
9,54,98
10,8,1769.75
10,7,1769.75
9,8,1769.75
9,7,1769.75
10,3,218.75
10,4,218.75
9,3,218.75
9,4,218.75
10,1,270.25
10,2,270.25
9,1,270.25
9,2,270.25
6,51,130.5
6,52,130.5
5,51,130.5
5,52,130.5
6,10,123.75
6,9,123.75
5,10,123.75
5,9,123.75
6,8,1755
6,7,1755
5,8,1755
5,7,1755
6,55,95.25
6,56,95.25
5,55,95.25
5,56,95.25
6,1,255.5
6,2,255.5
5,1,255.5
5,2,255.5
6,3,204
6,4,204
5,3,204
5,4,204
8,65,3094.25
8,66,3094.25
7,65,3094.25
7,66,3094.25
8,6,1755
8,5,1755
7,6,1755
7,5,1755
8,10,1769.75
8,9,1769.75
7,10,1769.75
7,9,1769.75
8,1,1901.5
8,2,1901.5
7,1,1901.5
7,2,1901.5
8,3,1850
8,4,1850
7,3,1850
7,4,1850
55,51,116.75
55,52,116.75
56,51,116.75
56,52,116.75
55,6,95.25
55,5,95.25
56,6,95.25
56,5,95.25
55,26,113.25
55,25,113.25
56,26,113.25
56,25,113.25
65,8,3094.25
65,7,3094.25
66,8,3094.25
66,7,3094.25
65,58,1509.5
65,57,1509.5
66,58,1509.5
66,57,1509.5
65,64,1483.5
65,63,1483.5
66,64,1483.5
66,63,1483.5
65,70,1790.75
65,69,1790.75
66,70,1790.75
66,69,1790.75
65,48,1479.5
65,47,1479.5
66,48,1479.5
66,47,1479.5
58,32,387.75
58,31,387.75
57,32,387.75
57,31,387.75
58,65,1509.5
58,66,1509.5
57,65,1509.5
57,66,1509.5
58,48,201.5
58,47,201.5
57,48,201.5
57,47,201.5
58,70,512.75
58,69,512.75
57,70,512.75
57,69,512.75
58,64,205.5
58,63,205.5
57,64,205.5
57,63,205.5
70,44,522.75
70,43,522.75
69,44,522.75
69,43,522.75
70,65,1790.75
70,66,1790.75
69,65,1790.75
69,66,1790.75
70,58,512.75
70,57,512.75
69,58,512.75
69,57,512.75
70,48,482.75
70,47,482.75
69,48,482.75
69,47,482.75
48,70,482.75
48,69,482.75
47,70,482.75
47,69,482.75
48,65,1479.5
48,66,1479.5
47,65,1479.5
47,66,1479.5
48,58,201.5
48,57,201.5
47,58,201.5
47,57,201.5
48,64,175.5
48,63,175.5
47,64,175.5
47,63,175.5
48,17,188.25
48,18,188.25
47,17,188.25
47,18,188.25
48,27,205.25
48,28,205.25
47,27,205.25
47,28,205.25
48,40,349.25
48,39,349.25
47,40,349.25
47,39,349.25
48,45,157.5
48,46,157.5
47,45,157.5
47,46,157.5
48,12,151.75
48,11,151.75
47,12,151.75
47,11,151.75
1,3,350.5
1,4,350.5
2,3,350.5
2,4,350.5
1,10,270.25
1,9,270.25
2,10,270.25
2,9,270.25
1,6,255.5
1,5,255.5
2,6,255.5
2,5,255.5
1,8,1901.5
1,7,1901.5
2,8,1901.5
2,7,1901.5
