1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
887,7007,13488,7924,7817,11042,5638,1262,4673,5298,1214,516,6,1,46,781,833,475,1266,985,743,1272,586,244,258,160,3899,1782,1689,4904,51,93,1052,580,563,2582,14428,2236,1030,1671,47,1691,1707,300,167,125,3775,1801,74,1474,4737,2910,49,94,352,187,4,0,298,948,73,52,1233,126,5374,2642,288,243,1473,1314,1801,2532
1107,6238,12431,7032,7066,9793,4884,1780,4219,4876,1039,436,3,1,46,817,699,404,1320,732,773,1149,595,193,192,197,3134,1504,1465,4474,43,61,917,532,561,2495,12850,1864,922,1472,58,1462,1513,267,138,110,2951,1301,70,1298,4233,2551,89,127,140,143,2,0,287,731,68,52,1075,120,4412,2412,262,414,1259,1199,1585,2271
1467,6205,12367,6979,7306,10078,4813,2059,4277,4966,1151,409,1,1,36,665,708,553,1938,769,812,1367,620,206,258,167,3454,1479,1433,4375,52,65,961,608,677,2409,12971,2013,932,1463,58,1544,1544,256,146,108,3211,1444,42,1330,4296,2631,73,118,173,164,6,0,251,718,70,47,1083,121,4747,2532,258,198,1307,1242,1607,2372
1329,6162,12029,6745,7036,9917,5048,1907,4087,4934,1014,427,2,0,41,629,744,544,2264,788,843,1275,616,189,263,154,3298,1574,1330,4511,35,80,1026,684,584,2361,12837,1820,993,1637,49,1546,1598,267,133,111,3094,1501,72,1861,4386,2544,109,143,143,211,5,0,232,733,74,51,1114,78,4886,2548,251,215,1271,1322,1687,2318
1360,6103,12051,6591,6904,9934,5051,1918,4153,5087,922,365,4,0,37,816,737,395,1539,667,777,1109,505,193,217,133,3397,1202,1372,4688,35,40,895,413,801,2386,13048,1962,836,1784,37,1419,1475,270,129,115,3183,1051,98,1288,4299,2452,97,76,139,151,8,1,211,652,71,60,1137,95,4774,2647,221,232,1286,1206,1643,2393
1088,5827,11900,6662,6767,9775,5043,1563,4021,5047,925,417,3,1,128,581,823,497,992,679,777,1125,567,252,226,117,3132,1602,1296,4649,78,53,910,434,421,2534,13041,1588,994,1681,42,1450,1528,263,119,108,3022,1596,116,1190,4332,2392,62,44,127,219,8,0,228,671,65,60,1230,85,4876,2617,191,317,1218,1215,1527,2252
819,5851,11686,6498,6540,9468,5090,1320,3973,5065,834,359,1,0,42,459,795,611,670,722,741,976,526,225,185,166,3099,1353,1286,4769,45,93,816,342,438,2343,12860,1498,968,1456,39,1404,1481,261,126,104,2990,1344,113,1214,4317,2456,69,114,151,221,8,0,190,676,63,76,1065,137,4641,2563,257,253,1238,1173,1613,2236
720,5817,11652,6481,6562,9429,4958,1275,3960,4917,802,399,2,1,40,430,778,505,821,659,800,968,585,255,190,180,3125,1254,1265,4946,36,77,913,351,537,2472,12857,1456,936,1414,32,1269,1314,265,111,101,3142,890,91,1236,4263,2451,100,419,187,206,9,0,164,749,75,92,1047,97,4296,2671,237,302,1233,1073,1681,2152
738,5754,11531,6231,6055,9042,4931,1352,3865,4848,796,321,2,0,36,477,673,488,894,809,753,831,450,319,269,123,2789,1094,1240,4605,35,65,789,339,711,2394,12269,1411,814,1388,30,1226,1309,248,115,106,2564,947,93,1156,4072,2305,56,148,157,286,7,1,160,684,56,41,1002,96,4160,2532,281,196,1221,993,1692,1993
1052,5640,12452,6552,6270,9973,4927,1805,4172,4944,809,371,2,0,99,465,656,445,1177,612,681,847,514,238,178,147,2716,1419,1181,4564,42,33,763,383,537,2467,13373,1426,830,1430,30,1169,1231,267,117,106,2707,1371,69,1211,4255,2370,55,175,200,245,3,0,165,631,65,45,1185,80,4500,2749,283,236,1283,1028,1818,2053
